team_id,event_id,tie_breaker,combined_score,season
137580,46765,14092041,100,154
115885,46765,14092051,40,154
75427,45646,14508943,37,155
61,45975,15901621,180,154
137414,46263,15835033,16,155
79349,47419,14638781,209,154
115657,46685,15821489,59,155
137209,46685,15821497,42,155
144848,50914,24605091,74,174
129043,47422,15138713,160,154
117145,45646,14508965,22,155
128381,46819,15844991,339,154
138268,47510,16401417,81,154
116815,47120,13979577,4,155
133872,49300,28623491,252,173
86670,46819,15845027,120,154
30238,46087,15047565,120,154
112835,46591,15444303,148,155
119402,47422,15138709,160,154
137160,46591,15444307,95,155
137158,46591,15444309,68,155
103649,47356,15820871,39,155
133035,46591,15444311,66,155
93547,45039,16293965,120,154
137592,47510,16401419,80,154
137922,47510,16401421,80,154
126424,47422,15138705,180,154
99758,47419,14638803,90,154
83958,45611,13463961,270,154
24223,44944,13684509,242,154
2026,46241,14517323,200,154
18745,45093,12055341,120,154
138041,47510,16401423,80,154
136501,46077,13215813,15,155
123560,47414,14144485,13,155
123844,47414,14144487,12,155
127870,46077,13215817,14,155
136503,46077,13215815,15,155
127869,46077,13215819,10,155
127565,46077,13215823,6,155
111828,46591,15444313,61,155
133958,46475,15004533,24,155
135305,47510,16401425,80,154
135043,46475,15004543,14,155
73163,47416,14540623,0,154
87453,50976,24666185,116,173
115532,44683,14535341,180,154
109046,44683,14535363,60,154
93612,44576,13619993,180,154
81143,45525,13726697,160,154
47918,45525,13726705,122,154
93621,44907,14532325,120,154
70333,44907,14532327,100,154
98649,44576,13620009,40,154
119936,47510,16401427,71,154
133938,44911,14536095,100,154
59206,44911,14536097,100,154
63810,44911,14536099,100,154
133635,46475,15004553,11,155
53180,44911,14536103,81,154
53181,44911,14536109,80,154
119400,47422,15138711,160,154
63811,44911,14536125,60,154
131512,46475,15004557,11,155
110262,46591,15444319,40,155
84590,44911,14536131,60,154
133662,46087,15047575,120,154
115476,47510,16401429,66,154
137650,46475,15004561,7,155
136823,47510,16401431,60,154
136824,47510,16401433,60,154
86668,47313,14029987,200,154
131966,46087,15047583,100,154
90372,47314,14588549,160,154
137924,47510,16401435,40,154
137652,46475,15004563,5,155
123559,45258,18323451,432,154
137294,45455,22424477,32,155
107446,46819,15844983,451,154
106236,45258,18323739,269,154
91230,47422,15138701,220,154
111243,45455,22424053,67,155
137740,47510,16401439,20,154
135839,45194,14580535,120,154
70946,47165,16303527,219,154
133791,46060,14086559,40,154
131952,46060,14086561,1,154
496,46274,14088447,60,154
64020,47099,13476687,20,155
110949,46887,14061835,9,155
116942,46339,12462565,16,155
131809,46338,12257837,13,155
133623,46633,14079963,110,154
57737,45121,15422385,60,154
72573,44833,14535445,110,154
